nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,class
0.51,0.15,0.51,0.26,0.46,0.28,0.45,0.41,0.45,0.52,0.55,0.26,0.56,0.39,0.56,0.5,0.49,0.52,0.49,0.7,0.49,0.85,0.54,0.52,0.55,0.7,0.56,0.87,stand
0.51,0.15,0.51,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.56,0.26,0.57,0.39,0.57,0.5,0.5,0.52,0.49,0.7,0.49,0.85,0.55,0.52,0.56,0.7,0.56,0.87,stand
0.52,0.13,0.52,0.24,0.49,0.26,0.48,0.39,0.48,0.52,0.57,0.24,0.6,0.39,0.59,0.5,0.5,0.52,0.5,0.67,0.49,0.85,0.56,0.52,0.56,0.7,0.56,0.87,stand
0.54,0.15,0.54,0.26,0.49,0.26,0.49,0.39,0.49,0.52,0.59,0.26,0.6,0.39,0.6,0.5,0.51,0.52,0.5,0.7,0.49,0.85,0.56,0.52,0.56,0.7,0.56,0.89,stand
0.55,0.13,0.55,0.26,0.5,0.26,0.49,0.39,0.49,0.52,0.6,0.26,0.61,0.39,0.6,0.5,0.51,0.52,0.5,0.67,0.5,0.83,0.57,0.52,0.56,0.7,0.56,0.87,stand
0.55,0.15,0.55,0.26,0.5,0.26,0.49,0.39,0.49,0.52,0.6,0.26,0.61,0.39,0.6,0.5,0.51,0.52,0.5,0.7,0.5,0.87,0.57,0.52,0.56,0.72,0.56,0.89,stand
0.55,0.13,0.55,0.26,0.51,0.24,0.49,0.37,0.49,0.5,0.6,0.26,0.61,0.39,0.6,0.5,0.51,0.52,0.5,0.7,0.5,0.85,0.57,0.52,0.56,0.7,0.56,0.87,stand
0.55,0.13,0.55,0.26,0.51,0.26,0.49,0.39,0.5,0.5,0.6,0.26,0.61,0.39,0.59,0.48,0.51,0.52,0.5,0.7,0.5,0.87,0.57,0.52,0.56,0.72,0.56,0.87,stand
0.55,0.13,0.55,0.26,0.5,0.26,0.49,0.39,0.52,0.46,0.6,0.26,0.61,0.39,0.57,0.46,0.51,0.52,0.5,0.7,0.5,0.87,0.57,0.52,0.56,0.72,0.56,0.89,stand
0.55,0.13,0.55,0.26,0.5,0.26,0.48,0.39,0.52,0.44,0.6,0.26,0.61,0.39,0.57,0.44,0.51,0.52,0.5,0.72,0.5,0.89,0.57,0.54,0.56,0.72,0.56,0.89,stand
0.55,0.15,0.55,0.26,0.5,0.26,0.48,0.39,0.52,0.41,0.6,0.26,0.61,0.39,0.56,0.41,0.51,0.52,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.54,0.15,0.54,0.26,0.49,0.26,0.48,0.39,0.52,0.41,0.59,0.26,0.61,0.39,0.56,0.41,0.51,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.54,0.15,0.54,0.26,0.49,0.26,0.48,0.39,0.52,0.41,0.59,0.26,0.6,0.39,0.56,0.41,0.5,0.52,0.5,0.7,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.54,0.15,0.54,0.26,0.49,0.26,0.48,0.39,0.52,0.41,0.59,0.26,0.6,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.15,0.54,0.26,0.49,0.26,0.48,0.39,0.52,0.41,0.59,0.26,0.6,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.15,0.54,0.26,0.49,0.26,0.46,0.39,0.52,0.41,0.59,0.26,0.6,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.52,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.51,0.41,0.57,0.26,0.6,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.52,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.52,0.41,0.57,0.26,0.6,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.7,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.52,0.41,0.57,0.26,0.6,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.7,0.56,0.87,stand
0.52,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.51,0.41,0.57,0.26,0.6,0.39,0.56,0.41,0.5,0.52,0.5,0.7,0.5,0.87,0.56,0.52,0.56,0.7,0.56,0.87,stand
0.52,0.15,0.52,0.26,0.48,0.26,0.48,0.39,0.51,0.41,0.57,0.26,0.59,0.39,0.56,0.41,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.51,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.51,0.41,0.57,0.26,0.59,0.39,0.55,0.41,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.51,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.51,0.41,0.57,0.26,0.59,0.39,0.55,0.41,0.5,0.52,0.5,0.72,0.5,0.87,0.56,0.52,0.56,0.7,0.56,0.87,stand
0.51,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.5,0.41,0.57,0.26,0.59,0.39,0.55,0.41,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.89,stand
0.51,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.52,0.41,0.57,0.26,0.59,0.39,0.55,0.44,0.5,0.54,0.5,0.72,0.5,0.89,0.55,0.52,0.56,0.72,0.56,0.89,stand
0.51,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.49,0.48,0.57,0.26,0.59,0.37,0.56,0.46,0.5,0.52,0.5,0.72,0.5,0.89,0.55,0.52,0.56,0.72,0.56,0.87,stand
0.51,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.48,0.52,0.56,0.26,0.59,0.39,0.59,0.5,0.5,0.54,0.5,0.72,0.5,0.89,0.55,0.54,0.56,0.72,0.56,0.87,stand
0.51,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.45,0.52,0.57,0.26,0.59,0.39,0.59,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.55,0.52,0.56,0.72,0.56,0.87,stand
0.51,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.45,0.52,0.57,0.26,0.59,0.39,0.59,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.89,stand
0.51,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.59,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.59,0.52,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.55,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.55,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.55,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.54,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.87,0.56,0.52,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.52,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.54,0.26,0.48,0.26,0.48,0.39,0.46,0.52,0.59,0.26,0.59,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.54,0.13,0.54,0.26,0.49,0.26,0.48,0.39,0.46,0.52,0.59,0.26,0.6,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.56,0.87,stand
0.54,0.13,0.54,0.26,0.49,0.26,0.48,0.39,0.48,0.52,0.59,0.26,0.6,0.39,0.6,0.52,0.5,0.52,0.5,0.72,0.5,0.89,0.56,0.54,0.56,0.72,0.55,0.87,stand
0.52,0.15,0.54,0.26,0.5,0.26,0.49,0.39,0.48,0.5,0.59,0.26,0.6,0.39,0.59,0.52,0.5,0.52,0.5,0.72,0.5,0.87,0.56,0.54,0.56,0.72,0.56,0.89,stand
0.52,0.13,0.54,0.26,0.5,0.26,0.49,0.39,0.48,0.52,0.59,0.26,0.59,0.41,0.59,0.54,0.5,0.52,0.5,0.72,0.5,0.87,0.55,0.54,0.56,0.72,0.56,0.87,stand
0.52,0.13,0.54,0.26,0.5,0.26,0.49,0.39,0.48,0.52,0.57,0.26,0.59,0.39,0.57,0.52,0.5,0.52,0.5,0.7,0.49,0.87,0.55,0.54,0.55,0.7,0.56,0.89,stand
0.51,0.15,0.52,0.26,0.5,0.26,0.49,0.39,0.48,0.5,0.56,0.24,0.56,0.39,0.56,0.52,0.5,0.52,0.5,0.7,0.49,0.87,0.54,0.52,0.55,0.7,0.56,0.87,stand
0.49,0.15,0.51,0.26,0.49,0.26,0.49,0.39,0.48,0.52,0.54,0.24,0.55,0.39,0.55,0.52,0.49,0.52,0.49,0.72,0.49,0.87,0.52,0.52,0.54,0.7,0.56,0.87,stand
0.48,0.15,0.5,0.26,0.48,0.26,0.48,0.41,0.46,0.52,0.51,0.24,0.54,0.37,0.52,0.52,0.48,0.52,0.49,0.7,0.49,0.87,0.51,0.52,0.52,0.7,0.56,0.87,stand
0.46,0.15,0.49,0.24,0.48,0.26,0.46,0.41,0.45,0.52,0.5,0.24,0.51,0.37,0.5,0.5,0.48,0.52,0.49,0.7,0.49,0.87,0.49,0.52,0.5,0.7,0.56,0.85,stand
0.45,0.15,0.48,0.24,0,0,0,0,0,0,0.49,0.24,0.51,0.35,0.49,0.5,0.46,0.52,0.48,0.7,0.54,0.85,0.49,0.52,0.49,0.7,0.49,0.87,stand
0.45,0.15,0.48,0.24,0.46,0.24,0,0,0,0,0.49,0.24,0.5,0.35,0.48,0.5,0.46,0.52,0.46,0.67,0.49,0.83,0.49,0.52,0.49,0.67,0.49,0.85,stand
0.44,0.15,0.46,0.24,0,0,0,0,0,0,0.48,0.24,0.49,0.35,0.48,0.5,0.48,0.5,0.49,0.67,0.49,0.87,0.48,0.52,0.46,0.7,0.46,0.87,stand
0.44,0.15,0.46,0.24,0.45,0.24,0,0,0,0,0.48,0.24,0.49,0.35,0.48,0.5,0.46,0.52,0.49,0.7,0.49,0.87,0.46,0.52,0.45,0.7,0.44,0.87,stand
0.43,0.15,0.46,0.24,0.45,0.24,0,0,0,0,0.46,0.24,0.48,0.35,0.46,0.5,0.46,0.52,0.49,0.7,0.49,0.87,0.46,0.52,0.44,0.7,0.42,0.87,stand
0.43,0.15,0.45,0.24,0.44,0.24,0,0,0,0,0.46,0.24,0.46,0.37,0.45,0.52,0.46,0.52,0.48,0.72,0.49,0.87,0.45,0.52,0.44,0.72,0.42,0.89,stand
0.42,0.15,0.44,0.24,0,0,0,0,0,0,0.45,0.24,0.45,0.37,0.44,0.52,0.45,0.52,0.48,0.7,0.49,0.87,0.44,0.52,0.43,0.72,0.42,0.89,stand
0.4,0.15,0.43,0.24,0,0,0,0,0,0,0.44,0.24,0.44,0.37,0.43,0.52,0.43,0.52,0.46,0.7,0.49,0.85,0.43,0.52,0.42,0.72,0.4,0.91,stand
0.39,0.13,0.42,0.24,0,0,0,0,0,0,0.44,0.24,0.43,0.37,0.42,0.52,0.42,0.52,0.44,0.7,0.48,0.85,0.43,0.52,0.42,0.7,0.4,0.89,stand
0.38,0.13,0.4,0.24,0,0,0,0,0,0,0.42,0.24,0.43,0.37,0.4,0.52,0.39,0.52,0.42,0.7,0.48,0.85,0.42,0.52,0.39,0.7,0.39,0.91,stand
0.38,0.13,0.39,0.24,0.37,0.24,0,0,0,0,0.42,0.24,0.43,0.37,0.4,0.52,0.37,0.52,0.39,0.72,0.44,0.81,0.4,0.52,0.39,0.72,0.4,0.91,stand
0.37,0.13,0.39,0.24,0.35,0.24,0.34,0.39,0.33,0.5,0.42,0.24,0.43,0.39,0.4,0.52,0.34,0.52,0.34,0.72,0,0,0.39,0.52,0.39,0.72,0.4,0.89,stand
0.37,0.11,0.38,0.24,0.34,0.24,0.33,0.39,0.32,0.52,0.42,0.24,0.43,0.39,0.42,0.52,0.34,0.52,0.33,0.72,0.34,0.87,0.39,0.52,0.4,0.72,0.4,0.89,stand
0.37,0.13,0.38,0.24,0.33,0.24,0.32,0.39,0.31,0.52,0.42,0.24,0.43,0.39,0.43,0.52,0.33,0.52,0.33,0.72,0.33,0.89,0.39,0.54,0.4,0.72,0.4,0.89,stand
0.35,0.13,0.37,0.24,0.32,0.24,0.31,0.39,0.29,0.5,0.4,0.24,0.43,0.37,0.43,0.52,0.33,0.52,0.33,0.72,0.33,0.89,0.39,0.52,0.4,0.7,0.4,0.89,stand
0.34,0.11,0.35,0.24,0.31,0.24,0.29,0.39,0.28,0.52,0.4,0.24,0.42,0.37,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.11,0.34,0.24,0.28,0.26,0.28,0.39,0.27,0.52,0.39,0.24,0.4,0.39,0.4,0.52,0.32,0.54,0.32,0.72,0.33,0.89,0.38,0.52,0.38,0.7,0.39,0.89,stand
0.33,0.11,0.33,0.26,0.28,0.26,0.27,0.39,0.27,0.52,0.38,0.24,0.4,0.39,0.4,0.52,0.31,0.54,0.32,0.72,0.33,0.89,0.37,0.54,0.38,0.72,0.39,0.89,stand
0.32,0.13,0.33,0.26,0.27,0.26,0.27,0.41,0.26,0.54,0.38,0.24,0.39,0.39,0.4,0.52,0.31,0.54,0.32,0.72,0.33,0.89,0.37,0.52,0.38,0.72,0.39,0.89,stand
0.32,0.13,0.33,0.26,0.27,0.26,0.27,0.41,0.27,0.54,0.38,0.24,0.39,0.37,0.4,0.52,0.31,0.54,0.32,0.72,0.33,0.89,0.37,0.52,0.38,0.72,0.39,0.87,stand
0.32,0.13,0.32,0.26,0.27,0.26,0.27,0.41,0.27,0.54,0.38,0.24,0.39,0.37,0.4,0.5,0.31,0.52,0.32,0.72,0.33,0.89,0.37,0.52,0.38,0.72,0.39,0.89,stand
0.32,0.13,0.33,0.26,0.27,0.26,0.27,0.41,0.27,0.52,0.38,0.24,0.39,0.37,0.4,0.5,0.32,0.54,0.32,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.87,stand
0.33,0.13,0.33,0.26,0.28,0.26,0.27,0.39,0.27,0.52,0.38,0.24,0.4,0.37,0.4,0.5,0.32,0.52,0.32,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.87,stand
0.33,0.11,0.33,0.26,0.28,0.26,0.28,0.39,0.27,0.52,0.39,0.24,0.4,0.39,0.4,0.52,0.32,0.52,0.32,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.87,stand
0.33,0.11,0.34,0.24,0.28,0.26,0.28,0.39,0.28,0.52,0.39,0.24,0.4,0.39,0.4,0.52,0.32,0.52,0.32,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.33,0.13,0.34,0.24,0.28,0.26,0.28,0.39,0.28,0.52,0.39,0.24,0.4,0.39,0.4,0.52,0.32,0.52,0.32,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.24,0.29,0.26,0.28,0.39,0.28,0.52,0.39,0.24,0.4,0.39,0.4,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.28,0.39,0.28,0.52,0.39,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.24,0.29,0.26,0.28,0.41,0.28,0.52,0.39,0.24,0.42,0.39,0.42,0.5,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.11,0.34,0.24,0.29,0.26,0.28,0.41,0.28,0.52,0.39,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.11,0.34,0.26,0.29,0.26,0.28,0.39,0.28,0.52,0.39,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.28,0.39,0.28,0.52,0.4,0.26,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.28,0.39,0.28,0.52,0.4,0.26,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.28,0.39,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.11,0.34,0.24,0.29,0.24,0.29,0.39,0.28,0.52,0.4,0.24,0.42,0.37,0.42,0.5,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.7,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.29,0.41,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.29,0.39,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.29,0.39,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.35,0.26,0.29,0.26,0.29,0.39,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.54,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.35,0.26,0.29,0.26,0.29,0.39,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
0.34,0.13,0.34,0.26,0.29,0.26,0.28,0.39,0.28,0.52,0.4,0.24,0.42,0.39,0.42,0.52,0.32,0.52,0.33,0.72,0.33,0.89,0.38,0.52,0.39,0.72,0.39,0.89,stand
